source_file,nx,ny,nz,nRaySPECT,coneMethod,implementation,projector_type,OSEM,nIter,nSubsets,subset_type,nProjections, ntime
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.385502
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.559288
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.561816
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.415777
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.332715
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.557110
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.393456
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.403509
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.316122
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.323946
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.480064
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.399497
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.464590
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.422967
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.464887
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.362011
nema1,128,128,128,9,3,4,1,1,2,8,3,64,23.279649
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.921000
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.472300
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.594195
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.725294
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.345733
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.429026
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.585069
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.437535
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.546613
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.634444
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.424111
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.591002
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.516604
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.820367
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.545345
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.398013
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.563952
nema1,128,128,128,9,3,4,1,1,2,8,3,64,22.544096
